Business,City,Owner,Title,Source,Note,Adjust,Exclude
Peak Heating and Cooling,Grand Rapids,Angel Ochoa,Co-owner (with Juan Ochoa),web search 2026-09-25 (peakheatingcooling.com/about-us/our-story; LinkedIn Adan Ochoa CEO),family owned since 2019; five brothers; also serves Illinois,0,
Pro-Tech Heating & Cooling,Grand Rapids,Andris Purvins,President (Lisa Purvins VP),web search 2026-09-25 (BBB),family owned,0,
"Penning Plumbing, Heating, Cooling, & Electric",Grand Rapids,Richard Penning,President,web search 2026-09-25 (BBB; penningplumbing.com/about),third generation; since 1917,0,
Lake Michigan Heating Cooling Plumbing,Grand Rapids,Daniel VanderHyde,Owner / founder,web search 2026-09-25 (lakemihcp.com/meet-the-team; LinkedIn),founded 2015; Walker MI,0,
Crome Mechanical Heating & Cooling,Grand Rapids,Todd Hurst,Owner,web search 2026-09-25 (BBB),family owned; Cedar Springs MI,0,
Blakeslee & Son Inc.,Grand Rapids,Brian Lovall,President,web search 2026-09-25 (RocketReach; blakesleeandson.com/our-story),third-generation family company since 1948; Rockford MI,0,
RX Comfort Heating & Air Conditioning,Grand Rapids,Adam Lynds,Owner / founder,web search 2026-09-25 (rxcomfort.com/about),founded 2012; Grandville,0,
GRmetro Heating and Cooling,Grand Rapids,Dwight Engelsma,President,web search 2026-09-25 (BBB; grmetroheatingandcooling.com/about),30+ years in HVAC,0,
Amp Electric Heating & Air,Grand Rapids,Joseph Cutshall,Owner / President (Katie Cutshall co-owner),web search 2026-09-25 (BBB; LinkedIn),family owned since 2009,0,
Vredevoogd Heating & Cooling,Grand Rapids,Michael Vredevoogd,Co-owner (family),web search 2026-09-25 (PitchBook; North Branch Capital merger announcement),acquired April 2020 by Heartland Home Services (North Branch Capital PE platform); 12;000+ reviews,0,acquired by private-equity platform Heartland Home Services (2020)
Simple Heating and Air,Grand Rapids,Wayne Weeks,President,web search 2026-09-25 (BBB),Belmont MI,0,
Bergsma Plumbing LLC,Grand Rapids,Joseph Bergsma,Owner,web search 2026-09-25 (LinkedIn; bergsmaplumbing.com/about-us),family owned since 2007; Comstock Park,0,
Ottagan Plumbing Incorporated,Grand Rapids,Rodney Briskorn,President (Lisa Briskorn co-owner),web search 2026-09-25 (BBB; ZoomInfo),based in Holland MI,0,
West Michigan Septic Sewer and Drain,Grand Rapids,Terry Kiel,Owner / founder,web search 2026-09-25 (Facebook; wmssd.com),based in Muskegon (about 40 miles from Grand Rapids); family owned since 1987,-3,
NSP Plumbing,Grand Rapids,Nate (last name not published),Owner / founder,web search 2026-09-25 (needsomeplumbing.com/about-nsp),founded 2021; Wyoming MI,0,
Butler's Rooter LLC,Grand Rapids,Lesley Butler,Owner,web search 2026-09-25 (LinkedIn; butlersrooterllc.com/about),established 2017; Kentwood,0,
Rock Service Pros,Grand Rapids,Michael Butcher,Owner (HQ Livonia MI),web search 2026-09-25 (BBB),Detroit-area company advertising in Grand Rapids: not local,-6,
Great Lakes Plumbing Services LLC,Grand Rapids,Mark DeVisser,Owner,web search 2026-09-25 (LinkedIn; BBB),based in Holland MI since 2000,0,
Whitney Services,Grand Rapids,,,web search 2026-09-25 (callwhitney.com),fourth-generation Whitney family company; also operates in Florida; owner name not published,-2,
Flat River Electric LLC,Grand Rapids,Mike Lott,Owner,web search 2026-09-25 (LinkedIn),Lowell MI,0,
AIC Roofing & Construction Inc,Lexington,Blaine Adams,President / founder,web search 2026-09-25 (LinkedIn; aicroofing.com),"founded 2003; Lexington, Louisville and Richmond offices",0,
Fahey Roofing + Contracting,Lexington,Joshua Fahey,Owner,web search 2026-09-25 (faheyroofingcontractors.com/about),based in South Point OH; serves WV/OH/KY: Lexington is a service location,-5,
A Godsend Roofing LLC,Lexington,Darrell Whitlock,Owner,web search 2026-09-25 (BBB; LinkedIn),,0,
V.C. Veterans Contracting LLC,Lexington,,,web search 2026-09-25 (veteranscontractingllc.com),"offices in Lexington, Richmond and Louisville; owner name not published",-2,
Pinnacle Roofing,Lexington,Joey Duff,Co-owner,web search 2026-09-25 (BBB; Commerce Lexington lists Brett Cantrell),"veteran owned; offices in Lexington, Louisville, Richmond, Shelbyville",-2,
Teal Ridge Roofing and Exteriors in Lexington,Lexington,Scott Henderson,President,web search 2026-09-25 (BBB Columbus OH),Columbus OH based (formerly Empire Roofing); Lexington is a branch,-5,
Ideal Roofing of KY,Lexington,,,web search 2026-09-25 (idealrestorationky.com),owner name not published; Frankfort/Georgetown/Lexington,0,
KRC Roofing and Construction,Lexington,Rex Toler,Owner,web search 2026-09-25 (LinkedIn; BBB Louisville),Louisville based; Lexington is a service area,-4,
Legacy Renovations,Lexington,Luis Morales Vasquez,Owner,web search 2026-09-25 (BBB),family owned; general contractor and roofing,0,
Best Choice Roofing,Lexington,,,web search 2026-09-25 (bestchoiceroofing.com/locations),national brand with 80+ locations in 25 states (founded by Wayne Holloway); local decision unlikely,0,national chain: Best Choice Roofing (80+ locations)
Fayette Heating & Air,Lexington,,,trivest.com; turnpointservices.com,Trivest (private equity) add-on acquisition for Dauenhauer; now a Turnpoint Services brand,,acquired by private-equity platform Turnpoint Services / Trivest
Dauenhauer Plumbing Heating Air & Electric,Lexington,,,trivest.com,Trivest (private equity) platform company; Louisville HQ,,private-equity platform (Trivest / Turnpoint Services)
Absolute Services,Lexington,Vince Heuser,Owner / Founder,servicetitan.com success story; linkedin,"Louisville HQ, Inc. 5000, ~$10M+; Lexington is a branch office; ~5k reviews shared across brands",-6,
Absolute Plumbing & Drains,Lexington,Vince Heuser,Owner / Founder,servicetitan.com success story,Same company as Absolute Services (Louisville HQ); separate LSA account per trade,-6,
Absolute Electrical,Lexington,Vince Heuser,Owner / Founder,servicetitan.com success story,Same company as Absolute Services (Louisville HQ); separate LSA account per trade,-6,
Comfort Heating & Air,Lexington,,,ars.com/comfort-heating-and-air,Operates as an ARS / Rescue Rooter brand (national corporate operator),,national corporate operator: ARS / Rescue Rooter brand
"Bryant Heating, Cooling, Plumbing & Electric",Lexington,Jackie Schembari,Co-Owner (Lexington),callbryant.com/meet-the-team; BBB,"Family-owned (Schembari), Louisville HQ, locations in Louisville/Lexington/Florence/Evansville; large multi-metro operation",-5,
GreenBox Home Services,Lexington,,,contractormag.com; globenewswire.com,Acquired by Heartland Home Services (PE-backed) April 2022,,acquired by private-equity platform Heartland Home Services (2022)
Southern Comfort Heating & Cooling LLC,Lexington,Matt Helgerson,Founder / Owner,southerncomfortky.com/meet-our-team,"Founded 2010 by HVAC master tech; family-owned, locally managed",2,
Jeffries Heating & Air + Plumbing & Electric,Lexington,Courtney Jeffries,Founder / Owner,linkedin; BBB (Somerset KY),HQ Somerset KY; Lexington is a branch market,-3,
"Tom Drexler Plumbing, Air & Electric",Lexington,,,pitchbook.com,Acquired April 2022 by Len The Plumber (private-equity backed); Louisville HQ,,acquired by private-equity backed Len The Plumber (2022)
Arronco Comfort Air,Lexington,Andrew Wolfe,Owner / President,arronco.com/about/our-team,"Family-owned 2nd generation (since 1984); HQ Burlington KY, Lexington is a branch",-4,
Sweet Life Heating & Cooling,Lexington,Jay Royer,Owner,BBB; callsweetlife.com,"Formerly Poston Brothers (since 1965); HQ Frankfort/Florence KY, multi-location",-3,
Apex Solutions,Lexington,Zach Gammon,Owner,BBB; apexplumbingky.com,"Locally owned since 2009; HQ Danville KY, Lexington office",-1,
Clog Busterz,Lexington,Devin Tackett,Owner,BBB; clogbusterzplumbing.com,"Locally owned, Richmond KY (Lexington metro)",1,
Peterman Brothers Heating Cooling Plumbing,Lexington,,,ibj.com; petermanhvac.com,"Greenwood IN family-owned, ~$100M multi-state operation with call center; Lexington is an expansion branch that cannot make its own buying decision",,"large multi-state operator (Peterman Brothers, Greenwood IN, ~$100M); Lexington branch"
Doctor Electric,Lexington,Mory Belle,Co-Owner / Founder,docelectric.com/about,Founded by co-owners Mory and Clarissa Belle; women-owned,2,
"Elite Performance Plumbing, Drain Cleaning, and Water Heaters",Lexington,Jacob Ginter,Business Manager,BBB; eliteperformanceplumbingky.com,Richmond KY HQ with Lexington office,,
Kentucky Plumbing (KYPD),Lexington,Jake Selepina,Owner,BBB; ky-pd.com/about,"Family-owned (Jake & Vic Selepina), Nicholasville KY",2,
GraceLand Air LLC,Lexington,Paul Lagoda,Owner,BBB; countyadvisoryboard.com,"Based in Lancaster KY (~35 mi), serves south Lexington",-2,
Engineered Heating and Air,Lexington,,,pitchbook.com,Acquired Feb 2023 by Leap Service Partners (private-equity platform),,acquired by private-equity platform Leap Service Partners (2023)
Pipe Surgeon Plumbing,Lexington,Jake Miller II,CEO / Founder,pipesurgeonplumbing.com/meet-the-team,Founder-led local plumber,2,
"All In One Plumbing, Heating And Cooling",Lexington,David Shepherd,Owner,BBB (Prestonsburg KY),HQ Prestonsburg KY (~115 mi east); advertises into Lexington,-4,
Ware’s Heating & Cooling,Lexington,Matt Ware,Co-Owner,BBB; warehvac.com/about,"Family-owned (Matt & Windy Ware), Georgetown KY",2,
Lexington Electrical & HVAC,Lexington,David Boggs,Owner,lexelectricalandhvac.com/about; BBB,Veteran-owned; master HVAC + master electrician,2,
"Air Control Heating and Air Conditioning of Lexington, Inc",Lexington,,,mergr.com,"Acquired June 30, 2025 by Leap Service Partners (private-equity platform)",,acquired by private-equity platform Leap Service Partners (2025)
Brewers Heating and Cooling,Lexington,Donnie Brewer,Owner,BBB,Family business since 1992 (Irvine/Lexington KY),1,
Joseph's Heating And Air,Lexington,Ernest Joseph,Owner,BBB (Richmond KY),Richmond KY (Lexington metro),1,
All-Pro Plumbing,Lexington,Joseph Lemaster,Owner,BBB (Prestonsburg KY); Yelp Georgetown,HQ Prestonsburg KY with Georgetown KY location,-2,
1st Service Heating and Air,Lexington,Butch Garey,Owner / President,1stservicehvac.com/about; BBB (Roy A. Garey),Waco/Richmond KY; father-son operation,1,
ProTech Heating and Air,Lexington,Josh Reece,Owner / President,BBB (Richmond KY); thecoolestcustomers.com,Richmond KY,1,
"Whitehead-Hancock Plumbing, Heating & Cooling",Lexington,Joe Hancock,Owner,whitehead-hancock.com/our-team; Yelp Q&A,"3rd-generation family company, Frankfort KY (serves Lexington/Georgetown)",,
Schmucker Roofing,Fort Wayne,Leroy Schmucker,Owner,linkedin; schmuckerroofing.com,"Owner-operated, 15+ yrs in roofing",2,
Victors Home Solutions,Fort Wayne,,,pitchbook.com; mergerlinks.com,Detroit-based; acquired July 2023 by Alpine Investors-backed Vertex Services Partners; Fort Wayne is a branch,,acquired by private-equity platform Vertex Services Partners / Alpine Investors (2023)
Landmark Roofing,Fort Wayne,Perry Schwartz,Founder / President,linkedin; landmarkroofingexperts.com/about,"Founded 2015, founder-led",2,
Shield Exteriors,Fort Wayne,Brad Ledgerwood,Owner,linkedin; BBB (Garrett IN),Garrett IN (Fort Wayne metro); metal roofing specialist,1,
TruChoice Roofing,Fort Wayne,Mervin Wickey,Owner,linkedin; truchoiceroofing.com,Owner-led local roofer,2,
Better Way Roofing,Fort Wayne,Lyle Lehman,Owner,betterwayroofing.com/about,"Amish-led, owner-operated; HQ Shipshewana IN (~50 mi)",-2,
Maumee River Roofing,Fort Wayne,Sam Schwartz,CEO,linkedin; maumeeriverconstruction.com/about-us,Founded 2018; Ian Kosier office manager (BBB),1,
Horner Roofing & Siding LLC,Fort Wayne,Micah Horner,Owner,hornerroofingandsiding.com/about-us,Family-owned since 2015 (Micah & Jessica Horner),2,
4Ever Metal Roofing,Fort Wayne,Travis Sliger,Owner,BBB; 4evermetalroofing.com,"Metal roofing specialist, Fort Wayne",1,
Equity Roofing Inc,Fort Wayne,,,facebook (Goshen IN); networx (Middlebury IN),HQ Goshen/Middlebury IN (~60 mi); owner not found,-2,
Schmucker Quality Construction LLC,Fort Wayne,Jason Schmucker,Founder / CEO,BBB; schmuckerqualityconstructionllc.com/about,"Family-owned since 2013 (Jason & Deborah Schmucker), Spencerville IN",1,
Priority Exteriors LLC,Fort Wayne,Zach Allen,Owner,BBB; priorityfw.com/about-us,"Owner-led, Fort Wayne",1,
Eads Roofing & Exteriors,Fort Wayne,Clayton Eads,Founder / Owner,eadsroofing.com/about,HQ Zionsville IN (Indianapolis); Fort Wayne is an expansion branch,-4,
"Paschal Air, Plumbing & Electric",Springfield,Steve Rook,General Manager (Southwest Missouri division),sbj.net; gopaschal.com/meet-the-team,"Independently owned (Charley Boyce, Springdale AR HQ), not PE; multi-state operator; Springfield is the former Larson Heating & Air, run by its ex-owner as division GM",,
Dorrian Heating & Cooling,Des Moines,Michael Heilman,President / Owner,dsmpartnership.com directory; dorrianheating.com,"Founded 1975 (Don Dorrian Sr.), Waukee IA",1,
Veteran Heating and Cooling,Des Moines,,,veteranphc.com,"Veteran-owned, Urbandale IA; newer company; owner name not published: ask for the owner",,
TMJ Construction Services,Des Moines,,,omniaexteriorsolutions.com newsroom,Joined Omnia Exterior Solutions (private-equity backed exterior roll-up platform); Ames IA HQ,,joined private-equity backed platform Omnia Exterior Solutions
Long Heating and Cooling,Springfield,,,web search 2026-09-25,owner name not found online: ask for the owner,,
Patriot Heat & Air,Springfield,Miranda Rought,Owner,BBB,"Hollister MO (Branson area, ~40 mi from Springfield); serves Springfield",-2,
Mr. Electric of Southwest Missouri,Springfield,Nathanael Toms,Owner (franchisee),linkedin; BBB; patch.com,Mr. Electric (Neighborly) franchise; owner-operated since 2009; Franchisee of the Year 2017,,
Advanced Restorations,Springfield,Chris Short,Co-Owner,BBB; linkedin,Founded 2014; co-owned with Damien Wilson; 11-50 employees,1,
Mr Electric of Central Iowa,Des Moines,,,mrelectric.com/central-iowa/our-team,"Mr. Electric (Neighborly) franchise, locally owned since 2001; owner listed only as 'Faith' (owner/HR manager): ask for the owner",,
1-Tom-Plumber Tulsa,Tulsa,Brent Richardson,Owner (franchisee),BBB,1-Tom-Plumber franchise; Tulsa location,,
"TCB Heating, Cooling and Handyman Services",Springfield,Travis Cummings,Owner,facebook; BBB (Marshfield MO),"Family-owned, Marshfield MO (~25 mi); serves Springfield",-1,
Clear Choice Exteriors & Bath Makeover,Des Moines,Rob Nevitt,Owner,linkedin; clearchoicedsm.com/about-us,Co-owned with Steve Dillon; windows/bath-first remodeler that also does roofing (Roof Maxx); Waukee/Urbandale,-2,
Mr. Rooter Plumbing of Grand Rapids,Grand Rapids,Matt Engel,Owner (franchisee),pmmag.com; BBB,Mr. Rooter (Neighborly) franchise; Grand Rapids & Kalamazoo,,
Benjamin Franklin Plumbing of Grand Rapids,Grand Rapids,Bob Evenhouse,Owner / President (franchisee),linkedin; 1851franchise.com,Benjamin Franklin (Authority Brands) franchise; owner-operated,,
Indianola Mechanical,Des Moines,Dan Hodges,President,linkedin; BBB,"Founded 1987, Indianola IA (~20 mi south of Des Moines)",-1,
Wagoner Roofing,Des Moines,Justin Wagoner,Owner,BBB; wagonerroofingiowa.com/about-us,Veteran-owned; Urbandale IA,1,
FTS Heating & Cooling (Formerly Bertsch Heating & Air Conditioning),Springfield,,,fixedtostay.com/bertsch-heating-air,Family-owned FTS (Marshfield/Lebanon MO) acquired Bertsch in 2023; owner name not published: ask for the owner,-1,
Home Run Plumbing,Des Moines,DeAnne Murray,Founder / Owner,homerunplumbing.com/about,De Soto IA (west of Des Moines),1,
One Hour Heating and Air Conditioning of Springfield,Springfield,,,onehourheatandair.com/springfield,One Hour (Authority Brands) franchise; franchisee name not published,,
1-Tom-Plumber,Des Moines,,,1tomplumber.com/desmoines,"1-Tom-Plumber franchise, Carlisle IA; franchisee name not published",,
